id,sport,start,stop,distance,longitude,latitude,highest_temperature,lowest_temperature,highest_altitude,lowest_altitude,local_time,ascent_total,descent_total,calories,max_heart_rate,duration_moving,duration_total
1680385253.0,running,2023-04-01T21:40:53+0000,2023-04-01T23:17:18+0000,10703.5,1654377639.0,-416416807.0,22,15,204.0,88.0,2023-04-02T08:47:18,153.0,162.0,812.0,177.0,4877.004,5779.207
1676359346.0,running,2023-02-14T07:22:26+0000,2023-02-14T07:59:12+0000,3507.61,-569830540.0,-186456472.0,31,27,1213.0,1203.0,2023-02-14T04:59:12,31.0,33.0,120.0,123.0,2193.944,2193.944
1710401769.0,running,2024-03-14T07:36:09+0000,2024-03-14T08:41:11+0000,10250.0,-569825943.0,-186466497.0,29,25,1220.8,1152.2,2024-03-14T05:41:11,135.0,138.0,609.0,161.0,3880.033,3880.033
1667892128.0,running,2022-11-08T07:22:08+0000,2022-11-08T08:11:53+0000,8171.34,-569830618.0,-186456315.0,28,24,1232.4,1179.0,2022-11-08T05:11:53,256.0,264.0,450.0,181.0,2979.902,2979.902
1676447150.0,running,2023-02-15T07:45:50+0000,2023-02-15T08:23:18+0000,3496.42,-569830275.0,-186456487.0,31,26,1213.8,1203.2,2023-02-15T05:23:18,29.0,29.0,134.0,126.0,2241.018,2241.018
1671177390.0,running,2022-12-16T07:56:30+0000,2022-12-16T08:26:15+0000,5340.88,-569830387.0,-186456426.0,27,22,1212.2,1199.8,2022-12-16T05:26:15,41.0,48.0,339.0,159.0,1778.575,1778.575
1632989413.0,running,2021-09-30T08:10:13+0000,2021-09-30T08:40:34+0000,5330.23,-569831737.0,-186456857.0,30,24,1213.0,1201.8,2021-09-30T05:40:34,40.0,45.0,330.0,184.0,1809.839,1809.839
1623915842.0,running,2021-06-17T07:44:02+0000,2021-06-17T08:48:54+0000,8505.15,,,29,25,1189.6,1176.8,2021-06-17T05:48:54,3.0,19.0,639.0,164.0,3841.319,3841.319
1661674097.0,running,2022-08-28T08:08:17+0000,2022-08-28T08:39:07+0000,5400.49,-569831149.0,-186456285.0,28,24,1213.4,1200.0,2022-08-28T05:39:07,61.0,75.0,328.0,169.0,1844.79,1844.79
1702715545.0,running,2023-12-16T08:32:25+0000,2023-12-16T11:54:18+0000,30218.72,-569826208.0,-186466154.0,33,24,1187.4,1163.0,2023-12-16T08:54:18,333.0,343.0,1910.0,179.0,11062.15,12103.418
